,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
54,Wheelman,Jeremy Rush,Joe Carnahan Craig Chapman Frank Grillo J. Todd Harris Chady Eli Mattar Myles Nestel Scott C. Silver,,,Frank Grillo Garret Dillahunt Caitlin Carmichael Wendy Moniz,"['Brooke Blair', 'Will Blair']",Juanmi Azpiroz,Padraic McKinley,,Netflix (US),20-Oct-17,82 minutes,United States,English,,,82,,,20-10-17,,,,Jeremy Rush,"['The Solution Entertainment Group', 'WarParty Films']",,,,,,,,,,,,,,,,,,,,,
55,The Killer,Marcelo Galvão,,,,Diogo Morgado Nill Marcondes Deto Montenegro Maria de Medeiros Étienne Chicot,,,,,Netflix,10-Nov-17,,Brazil,Portuguese,,,,,,10-11-17,,,,,,Marcelo Galvão,,,,,,,,,,,,,,,,,,,,
56,A Christmas Prince,Alex Zamm,Amy Krell,,,Rose McIver Ben Lamb Tom Knight Sarah Douglas Daniel Fathers Alice Krige Tahirah Sharif,Zack Ryan,Viorel Sergovici,Marshall Harvey,,Netflix,17-Nov-17,92 minutes,United States,English,,,92,,,17-11-17,,,,Karen Schaler Nathan Atkins,MPCA,,,,,,,,,,,,,,,,,,,,,
57,El Camino Christmas,David E. Talbert,"['Kimberly Quinn', 'Theodore Melfi']",,,Luke Grimes Vincent D'Onofrio Dax Shepard Kurtwood Smith Michelle Mylett Emilio Rivera Kimberly Quinn Jessica Alba Tim Allen,Christopher Lennertz,Tim Suhrstedt,Troy Takaki,,Netflix,08-Dec-17,99 minutes,United States,English,,,99,,,08-12-17,,,,"['Chris Wehner', 'Theodore Melfi']","['Goldenlight Films', 'Brother']",,,,,,,,,,,,,,,,,,,,,
58,Christmas Inheritance,Ernie Barbarash,David Anselmo,,,Eliza Taylor Jake Lacy Andie MacDowell Michael Xavier,Terry Frewer,Peter Benison,Gordon McClellan,,Netflix,15-Dec-17,104 minutes,United States,English,,,104,,,15-12-17,,,,Dinah Eng,Motion Picture Corporation of America,,,,,,,,,,,,,,,,,,,,,
59,Bright,David Ayer,Eric Newman David Ayer Bryan Unkeless Ted Sarandos,,,Will Smith Joel Edgerton Noomi Rapace Lucy Fry Édgar Ramírez Ike Barinholtz,David Sardy,Roman Vasyanov,Michael Tronick,,Netflix,"December 13, 2017 ( Regency Village Theater ) December 22, 2017 (United States)",118 minutes,United States,English,$90–106.2 million,,118,90000000,,13-12-17,,,,Max Landis,Overbrook Entertainment Trigger Warning Entertainment Grand Electric Netflix,,,,,,,,,,,,,,,,,,,,,
60,The Polka King,Maya Forbes,"['Jack Black', 'Stuart Cornfeld', 'Monica Levinson', 'Priyanka Mattoo', 'David Permut', 'Shivani Rawat', 'Wallace Wolodarsky']","['Maya Forbes', 'Wallace Wolodarsky']","['The Man Who Would Be Polka King', 'by Joshua Brown and John Mikulak']","['Jack Black', 'Jenny Slate', 'Jason Schwartzman', 'Jacki Weaver']",,Andrei Bowden-Schwartz,Catherine Haight,,Netflix,"January 22, 2017 ( Sundance ) January 12, 2018 (Worldwide)",95 minutes,United States,English,,,95,,,22-01-17,,,,,"['Red Hour Productions', 'Electric Dynamite', 'Permut Presentations', 'ShivHans Pictures']",,,,,,,,,,,,,,,,,,,,,
61,Step Sisters,Charles Stone III,Matt Alvarez Simon Horsman Benjamin Jones Jeffrey Soros Lena Waithe,,,Megalyn Echikunwoke Lyndon Smith Eden Sher Marque Richardson Matt McGorry Naturi Naughton,,Christopher Baffa,Matt Friedman,,Netflix,19-Jan-18,108 minutes,United States,English,$10 million,,108,10000000,,19-01-18,,,,Chuck Hayward,Los Angeles Media Fund,,,,,,,,,,,,,,,,,,,,,
62,Open House,Matt Angel Suzanne Coote,Dan Angel Matt Angel Suzanne Coote,,,Dylan Minnette Piercey Dalton Sharif Atkins Patricia Bethune Aaron Abrams,Joseph Shirley,Filip Vandewal,Bradley McLaughlin,,Netflix,19-Jan-18,94 minutes,United States,English,,,94,,,19-01-18,,,,Matt Angel Suzanne Coote,,,,,,,,,,,,,,,,,,,,,,
63,Blockbuster,July Hygreck,,,,Syrus Shahidi Charlotte Gabris Tom Hygreck,,,,Virginie Films Rosebud Entertainment Pictures Other Angle Pictures,Netflix,24 January 2018 (United States),85 minutes,France,French,,,85,,,24-01-18,,,,July Hygreck (screenplay) Tom Hygreck (screenplay),,,,,,,,,,,,,,,,,,,,,,
64,A Futile and Stupid Gesture,David Wain,Jonathan Stern Peter Principato Ted Sarandos,John Aboud Michael Colton,"['A Futile and Stupid Gesture', 'by', 'Josh Karp']",Will Forte Domhnall Gleeson Martin Mull Joel McHale Thomas Lennon John Gemberling Matt Walsh Rick Glassman Jon Daly Seth Green Emmy Rossum,,Kevin Atkinson,Jamie Gross David Egan Robert Nassau,,Netflix,"January 24, 2018 ( Sundance ) January 26, 2018 (United States/Worldwide)",101 minutes,United States,English,,,101,,,24-01-18,,,,,Abominable Pictures Principato-Young Entertainment,,,,,,,,,,,,,,,,,,,,,
65,The Cloverfield Paradox,Julius Onah,J. J. Abrams Lindsey Weber,Oren Uziel,,Daniel Brühl Elizabeth Debicki Aksel Hennie Gugu Mbatha-Raw Chris O'Dowd John Ortiz David Oyelowo Zhang Ziyi,Bear McCreary,Dan Mindel,Alan Baumgarten Matt Evans Rebecca Valente,Paramount Pictures Bad Robot Productions,Netflix,04-Feb-18,102 minutes,United States,English,$45 million,,102,45000000,,04-02-18,,,,,,Oren Uziel Doug Jung,,,,,,,,,,,,,,,,,,,,
66,When We First Met,Ari Sandel,Adam Saunders Mason Novick Mary Viola Michelle Knudsen McG,,,Adam DeVine Alexandra Daddario Shelley Hennig Andrew Bachelor Robbie Amell,Eric V. Hachikian,David Hennings,Jeffrey Wolf,,Netflix,09-Feb-18,97 minutes,United States,English,$9.5 million,,97,9500000,,09-02-18,,,,"['John Whittington', 'Isabelle Nuru Dayne']",Footprint Features MXN Entertainment Wonderland Sound and Vision,,,,,,,,,,,,,,,,,,,,,
67,Love Per Square Foot,Anand Tiwari,Ronnie Screwvala,,,"['Vicky Kaushal', 'Angira Dhar', 'Alankrita Sahai', 'Ratna Pathak Shah', 'Supriya Pathak']","['Sohail Sen', 'Anand Bajpai']",Avinash Arun,Sanyukta Kaza,,Netflix,14-Feb-18,133 minutes,India,Hindi,,,133,,,14-02-18,,,,"['Anand Tiwari', 'Sumeet Vyas']",RSVP Movies,,,,,,,,,,,,,,,,,,,,,
68,Irreplaceable You,Stephanie Laing,Farah Abushwesha Christie Colliopoulos Buzz Koenig Jonathan Tropper,,,Gugu Mbatha-Raw Michiel Huisman Brian Tyree Henry Steve Coogan Timothy Simons Jacki Weaver Kate McKinnon Christopher Walken Tamara Tunie,Lesley Barber,Magdalena Górka,,,Netflix,16-Feb-18,96 minutes,United States,English,,,96,,,16-02-18,,,,Bess Wohl,ACE Tropper Ink Productions Rocliffe Productions PYPO Opposite Field Pictures The Exchange,,,,,,,,,,,,,,,,,,,,,
69,Mute,Duncan Jones,Stuart Fenegan,Michael Robert Johnson Duncan Jones,,Alexander Skarsgård Paul Rudd Justin Theroux,Clint Mansell,Gary Shaw,Laura Jennings Barrett Heathcote,Liberty Films UK Studio Babelsberg,Netflix,23-Feb-18,126 minutes,United Kingdom Germany,English German,,,126,,,23-02-18,,,,,,Duncan Jones,,,,,,,,,,,,,,,,,,,,
70,The Outsider,Martin Zandvliet,John Linson Art Linson Ken Kao,,,Jared Leto Tadanobu Asano Kippei Shiina Rory Cochrane Shiori Kutsuna Emile Hirsch,Sune Martin,Camilla Hjelm Knudsen,Mikkel E.G. Nielsen,,Netflix,09-Mar-18,120 minutes,"['United States', 'Japan']",English Japanese,,,120,,,09-03-18,,,,Andrew Baldwin,Linson Entertainment Waypoint Entertainment,,,,,,,,,,,,,,,,,,,,,
71,Benji,Brandon Camp,Jason Blum Brandon Camp,,,Gabriel Bateman Darby Camp Jerod Haynes Angus Sampson Will Rothhaar Kiele Sanchez,Kostas Christides,Thomas Scott Stanton,Carsten Kurpanek,,Netflix,16-Mar-18,87 minutes,United States,English,$6 million,,87,6000000,,16-03-18,,,,Brandon Camp,Blumhouse Productions Camp Brand Meridian Entertainment Symbolic Exchange,,,,,,,,,,,,,,,,,,,,,
72,"Game Over, Man!",Kyle Newacheck,Adam DeVine Anders Holm Blake Anderson Kyle Newacheck Seth Rogen Evan Goldberg James Weaver Scott Rudin Eli Bush Isaac Horne,Anders Holm,,Adam DeVine Anders Holm Blake Anderson Utkarsh Ambudkar Aya Cash Neal McDonough Daniel Stern Jamie Demetriou Rhona Mitra Sam Richardson Steve Howey,Steve Jablonsky,Grant Smith,Evan Henke,,Netflix,23-Mar-18,101 minutes,United States,English,$27.1 million,,101,27100000,,23-03-18,,,,,Mail Order Company Point Grey Pictures Scott Rudin Productions,Anders Holm Kyle Newacheck Adam DeVine Blake Anderson,,,,,,,,,,,,,,,,,,,,
73,Paradox,Daryl Hannah,Bernard Shakey Elliot Rabinowitz,,,Neil Young Lukas Nelson Micah Nelson,Neil Young Promise of the Real,Adam Vollick,Paul Snyder,,Netflix,"March 15, 2018 ( SXSW ) March 23, 2018",73 minutes,United States,English,,,73,,,15-03-18,,,,Daryl Hannah,,,,,,,,,,,,,,,,,,,,,,
74,Roxanne Roxanne,Michael Larnell,Nina Yang Bongiovi Mimi Valdes Forest Whitaker Pharrell Williams,,,Chanté Adams Mahershala Ali Nia Long Elvis Nolasco Kevin Phillips Shenell Edmonds,RZA,Federico Cesca,Claudia Castello,I am OTHER Significant Productions,Netflix,"January 22, 2017 ( Sundance ) March 23, 2018 (US)",100 minutes,United States,English,,,100,,,22-01-17,,,,Michael Larnell,,,,,,,,,,,,,,,,,,,,,,
75,Happy Anniversary,Jared Stern,Helena Hyman M. Elizabeth Hughes Marc Provissiero Bryan DeGuire Scott Fort,,,Noël Wells Ben Schwartz Rahul Kohli Kristin Bauer van Straten Kate Berlant Leonardo Nam David Walton Isidora Goreshter Annie Potts Joe Pantoliano Jeff Grace,Joshua Moshier,Nicholas Wiesnet,David Egan,Industry Entertainment Odenkirk Provissiero Entertainment A Stern Talking To,Netflix,30-Mar-18,78 minutes,United States,English,,,78,,,30-03-18,,,,Jared Stern,,,,,,,,,,,,,,,,,,,,,,
76,First Match,Olivia Newman,Chanelle Elaine Veronica Nickel Bryan Unkeless,,,Elvire Emmanuelle Yahya Abdul-Mateen II Colman Domingo Jharrel Jerome Jared Kemp,,Ashley Connor,Tamara Meem,,Netflix,"March 12, 2018 ( South by Southwest ) March 30, 2018 (Netflix)",102 minutes,United States,English,,,102,,,12-03-18,,,,Olivia Newman,Clubhouse Pictures,,,,,,,,,,,,,,,,,,,,,
77,6 Balloons,Marja-Lewis Ryan,Reid Carolin Ross M. Dinerstein Samantha Housman Peter Kiernan Channing Tatum,,,Abbi Jacobson Dave Franco Charlotte Carel Madeline Carel Dawan Owens Jen Tullock Maya Erskine Tim Matheson Jane Kaczmarek,Heather McIntosh,Polly Morgan,Brian Scofield,,Netflix,"March 12, 2018 ( SXSW ) April 6, 2018 (United States)",74 minutes,United States,English,,,74,,,12-03-18,,,,Marja-Lewis Ryan,Campfire Free Association,,,,,,,,,,,,,,,,,,,,,
78,Amateur,Ryan Koo,Jason Michael Berman Mark Moran Chip Hourihan,,,Michael Rainey Jr.,BC Smith,Gregory J. Wilson,Jeff Wishengrad,Mandalay Pictures Netflix,Netflix,"April 6, 2018 (United States)",96 minutes,United States,English,,,96,,,06-04-18,,,,Ryan Koo,,,,,,,,,,,,,,,,,,,,,,
79,Come Sunday,Joshua Marston,Marc Forster Ira Glass Alissa Shipp James D. Stern Julie Goldstein,,,Chiwetel Ejiofor Jason Segel Condola Rashad Lakeith Stanfield Stacey Sargeant Vondie Curtis-Hall Danny Glover Martin Sheen,Tamar-kali,Peter Flinckenberg,Malcolm Jamieson,Apparatus Productions Endgame Entertainment This American Life,Netflix,"January 21, 2018 ( Sundance ) April 13, 2018 (United States)",106 minutes,United States,English,,,106,,,21-01-18,,,,Marcus Hinchey,,,,,,,,,,,,,,,,,,,,,,
80,I Am Not an Easy Man,Éléonore Pourriat,Eleonore Dailly Edouard de Lachomette,,,Vincent Elbaz Marie-Sophie Ferdane Pierre Bénézit Moon Dailly,,,,Autopilot Entertainment Film Invaders LOVEMYTV MademoiselleFilms,Netflix,"April 13, 2018 (Worldwide)",98 minutes,France,French,,,98,,,13-04-18,,,,Ariane Fert (collaborating writer) Éléonore Pourriat,,,,,,,,,,,,,,,,,,,,,,
81,Dude,Olivia Milch,Heather Rae Langley Perer Alex Saks Andrew Duncan Jen Isaacson,Olivia Milch,,Lucy Hale Kathryn Prescott Alexandra Shipp Awkwafina Alex Wolff,Mark Batson,Hilary Spara,Annette Davey,June Pictures Mosaic Media Group RadicalMedia Puny Voice,Netflix,"April 20, 2018 (United States)",97 minutes,United States,English,,,97,,,20-04-18,,,,,,Kendall McKinnon Olivia Milch,,,,,,,,,,,,,,,,,,,,
82,Candy Jar,Ben Shelton,Michael A. Simpson Judy Cairo,,,Sami Gayle Jacob Latimore,Ryan Leach,Topher Osborn,Kayla Emter,,Netflix,"April 27, 2018 (United States)",92 minutes,United States,English,,,92,,,27-04-18,,,,Chad Klitzman,Netflix,,,,,,,,,,,,,,,,,,,,,
83,The Week Of,Robert Smigel,Allen Covert Adam Sandler,,,Adam Sandler Chris Rock Rachel Dratch Steve Buscemi,Rupert Gregson-Williams,Federico Cesca,Tom Costain,Happy Madison Productions Netflix,Netflix,27-Apr-18,116 minutes,United States,English,,,116,,,27-04-18,,,,Robert Smigel Adam Sandler,,,,,,,,,,,,,,,,,,,,,,
84,Sometimes,Priyadarshan,"['Isari Ganesh', 'A. L. Vijay', 'Prabhu Deva', 'Radhika Chaudhari']",,,"['Prakash Raj', 'Sriya Reddy', 'Ashok Selvan']",Ilaiyaraaja,Sameer Thahir,Beena Paul,,Netflix,01-May-18,92 minutes,India,Tamil,,,92,,,01-05-18,,,,Priyadarshan,"['Think Big Studios', 'Prabhu Deva Studios']",,,,,,,,,,,,,,,,,,,,,
85,Forgive Us Our Debts,Antonio Morabito,,,,Claudio Santamaria Marco Giallini Jerzy Stuhr,Andrea Guerra,,,La Luna Peacock Film GmbH Lotus Production Leone Film Group Rai Cinema Netflix,Netflix,"May 4, 2018 (Italy)",104 minutes,Italy,Italian,"€2,000,000 (estimated)",,104,,,04-05-18,,,,Antonio Morabito Amedeo Pagani,,,,,,,,,,,,,,,,,,,,,,
86,The Kissing Booth,Vince Marcello,Ed Glauser Andrew Cole-Bulgin Vince Marcello Michele Weisler,,"['The Kissing Booth', 'by Beth Reekles']",Joey King Joel Courtney Jacob Elordi Molly Ringwald,Patrick Kirst,Anastas N. Michos,Paul Millspaugh,,Netflix,11-May-18,110 minutes,United States,English,,,110,,,11-05-18,,,,Vince Marcello,Komixx Entertainment,,,,,,,,,,,,,,,,,,,,,
87,Cargo,Ben Howling Yolanda Ramke,Russell Ackerman Kristina Ceyton Samantha Jennings Mark Patterson,Yolanda Ramke,"['Cargo', 'by', 'Ben Howling', 'Yolanda Ramke']",Martin Freeman Simone Landers Anthony Hayes David Gulpilil Susie Porter Natasha Wanganeen Caren Pistorius,,Geoffrey Simpson,Dany Cooper Sean Lahiff,,Netflix,6 October 2017 ( ADLFF ) 18 May 2018 (Worldwide),105 minutes,Australia,English,,,105,,,06-10-17,,,,,Umbrella Entertainment Addictive Pictures Causeway Films Head Gear Films,,,,,,,,,,,,,,,,,,,,,
88,Ibiza,Alex Richanbach,Kevin Messick Nathan Kahane Erin Westerman Will Ferrell Adam McKay,,,Gillian Jacobs Vanessa Bayer Phoebe Robinson Michaela Watkins Jordi Mollà Richard Madden,Jeff Morrow,Danny Moder,Josh Salzberg,Gary Sanchez Productions Good Universe,Netflix,25-May-18,94 minutes,United States,English,,,94,,,25-05-18,,,,Lauryn Kahn,,,,,,,,,,,,,,,,,,,,,,
89,Alex Strangelove,Craig Johnson,Jared Goldman Ben Stiller Nicholas Weinstock,,,Daniel Doheny Antonio Marziale Madeline Weinstein Joanna Adler William Ragsdale Daniel Zolghadri,Nathan Larson,Hilary Spera,Jennifer Lee,Mighty Engine Red Hour Films STXfilms,Netflix,"April 14, 2018 ( SFF ) June 8, 2018 (United States, Australia)",99 minutes,United States,English,,,99,,,14-04-18,,,,Craig Johnson,,,,,,,,,,,,,,,,,,,,,,
90,Set It Up,Claire Scanlon,Juliet Berman Justin Nappi,,,Zoey Deutch Glen Powell Taye Diggs Lucy Liu,Laura Karpman,Matthew Clark,Wendy Greene Bricmont,,Netflix,"June 12, 2018 ( New York City ) June 15, 2018 (United States)",105 minutes,United States,English,$10.2 million,,105,10200000,,12-06-18,,,,Katie Silberman,Treehouse Pictures,,,,,,,,,,,,,,,,,,,,,
91,Lust Stories,Anurag Kashyap Zoya Akhtar Dibakar Banerjee Karan Johar,"['Ronnie Screwvala', 'Ashi Dua']",,,Radhika Apte Bhumi Pednekar Manisha Koirala Kiara Advani Akash Thosar Neil Bhoopalam Jaideep Ahlawat Sanjay Kapoor Neha Dhupia Vicky Kaushal,,Sylvester Fonseca Álvaro Gutiérrez K. U. Mohanan Mitesh Mirchandani,Nitesh Bhatia Namrata Rao Pooja Ladha Surti Utsav Bhagat Nitin Baid,,Netflix,15-Jun-18,120 minutes,India,Hindi,,,120,,,15-06-18,,,,,"['RSVP Movies', 'Flying Unicorn Entertainment']",,,,,,,,,,,,,,,,,,,,,
92,"To Each, Her Own",Myriam Aziza,,,,,,,,,Netflix,24-Jun-18,95 minutes,France,French,,,95,,,24-06-18,,,,Myriam Aziza Denyse Rodriguez-Tomé,Netflix,,,Les goûts et les couleurs,,,,,,,,,,,,,,,,,,
93,Calibre,Matt Palmer,Alastair Clark Anna Griffin,,,Jack Lowden Martin McCann Tony Curran,Anne Nikitin,Márk Györi,Chris Wyatt,,Netflix,22 June 2018 ( Edinburgh ) 29 June 2018 ( Netflix ),101 minutes,United Kingdom,English,,,101,,,22-06-18,,,,Matt Palmer,Wellington Films,,,,,,,,,,,,,,,,,,,,,
94,Tau,Federico D'Alessandro,Russell Ackerman Terry Dougas David S. Goyer Paris Kasidokostas Latsis John Schoenfelder Kevin Turen,,,Maika Monroe Ed Skrein Gary Oldman,Bear McCreary,Larry Smith,Scott Chestnut,Waypoint Entertainment Rhea Films Hercules Film Fund Phantom Four Films Addictive Pictures Kaos Theory Entertainment Netflix Original Films,Netflix,29-Jun-18,97 minutes,United States,English,,,97,,,29-06-18,,,,Noga Landau,,,,,,,,,,,,,,,,,,,,,,
95,The Legacy of a Whitetail Deer Hunter,Jody Hill,Scott Rudin,,,Josh Brolin Montana Jordan Danny McBride,Joseph Stephens,Eric Treml,Jeff Seibenick,,Netflix,"March 10, 2018 ( SXSW ) July 6, 2018 (United States)",83 minutes,United States,English,,,83,,,10-03-18,,,,Jody Hill John Carcieri Danny McBride,Rough House Pictures Scott Rudin Productions,,,,,,,,,,,,,,,,,,,,,
96,How It Ends,David M. Rosenthal,Paul Schiff Tai Duncan Kelly McCormick Patrick Newall,,,Theo James Forest Whitaker Grace Dove Kat Graham Mark O'Brien,Atli Örvarsson,Peter Flinckenberg,Jason Ballantine,,Netflix,"July 13, 2018 (United States)",113 min,United States,English,,,113,,,13-07-18,,,,Brooks McLaren,Paul Schiff Productions Sierra/Affinity,,,,,,,,,,,,,,,,,,,,,
97,Father of the Year,Tyler Spindel,Allen Covert Kevin Grady,,,David Spade Nat Faxon Joey Bragg Matt Shively Bridgit Mendler Jared Sandler,Elmo Weber,Brad Shield,J.J. Titone Jason Gourson,,Netflix,"July 20, 2018 (United States)",94 minutes,United States,English,,,94,,,20-07-18,,,,Brandon Cournoyer Tyler Spindel,Happy Madison Productions,,,,,,,,,,,,,,,,,,,,,
98,Extinction,Ben Young,David Hoberman Nathan Kahane Todd Lieberman,Spenser Cohen Brad Kane,,Michael Peña Lizzy Caplan Mike Colter Erica Tremblay Emma Booth Israel Broussard,The Newton Brothers,Pedro Luque,Matthew Ramsey,,Netflix,27-Jul-18,95 minutes,United States,English,,,95,,,27-07-18,,,,,Good Universe Mandeville Films,Spenser Cohen,,,,,,,,,,,,,,,,,,,,
99,Brij Mohan Amar Rahe,Nikhil Bhat,,,,"['Arjun Mathur', 'Nidhi Singh', 'Sheetal Thakur', 'Manav Vij', 'Sunny Hinduja', 'Vijayant Kohli', 'Yogendra Tikku']",Andrew T. Mackay,Pooja S Gupte,"['Debaloy Bhattacharya', 'Afzal Shaikh.']",,Netflix,03-Aug-18,,India,Hindi,,,,,,03-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Like Father,Lauren Miller,Anders Bard Amanda Bowers Molly Conners Lauren Miller,Lauren Miller,,Kristen Bell Kelsey Grammer Seth Rogen,Roger Neill,Seamus Tierney,Mollie Goldstein,,Netflix,"August 3, 2018 (United States)",98 minutes,United States,English,,,98,,,03-08-18,,,,,aBard Production,Anders Bard Lauren Miller,,,,,,,,,,,,,,,,,,,,
101,The Package,Jake Szymanski,Ben Stiller Nicky Weinstock Blake Anderson Adam Devine Anders Holm Kyle Newacheck Ross Dinerstein,,,Daniel Doheny Geraldine Viswanathan Sadie Calvano Luke Spencer Roberts Eduardo Franco,Adam Schiff,Hillary Spera,Christian Hoffman,"['Red Hour Productions', 'Mail Order Company']",Netflix,"August 10, 2018 (United States)",94 minutes,United States/Canada,English,,,94,,,10-08-18,,,,Kevin Burrows Matt Mider,,,,,,,,,,,,,,,,,,,,,,
102,To All the Boys I've Loved Before,Susan Johnson,Jordan Levin Matthew Kaplan Dougie Cash,,"[""To All the Boys I've Loved Before"", 'by', 'Jenny Han']",Lana Condor Noah Centineo Janel Parrish Anna Cathcart Andrew Bachelor Trezzo Mahoro Madeleine Arthur Emilija Baranac Israel Broussard John Corbett,Joe Wong,Michael Fimognari,Phillip J. Bartell Joe Klotz,Overbrook Entertainment Awesomeness Films,Netflix,"August 17, 2018 (United States)",99 minutes,United States,English,,,99,,,17-08-18,,,,Sofia Alvarez,,,,,,,,,,,,,,,,,,,,,,
103,The After Party,Ian Edelman,Russell Simmons Jake Stein Jamie Patricof Heather Parry Trevor Engelson Doug Banker Lee “Q” O’Denat,Ian Edelman,,Kyle Harvey Harrison Holzer Shelley Hennig Teyana Taylor Jamie Choi Jordan Rock Amin Joseph Andy Buckley Blair Underwood,,,Def Pictures Live Nation Productions WorldStarHipHop Hunting Lane Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Sierra Burgess Is a Loser,Ian Samuels,Thad Luckinbill Trent Luckinbill Molly Smith Rachel Smith,,,Shannon Purser Kristine Froseth RJ Cyler Noah Centineo,Leland Bram Inscore Sabrina Carpenter Dede Almodovar,John W. Rutland,Andrea Bottigliero,Black Label Media,Netflix,"September 7, 2018 (United States)",105 minutes,United States,English,,,105,,,07-09-18,,,,Lindsey Beer,,,,,,,,,,,,,,,,,,,,,,
105,The Most Assassinated Woman in the World,Franck Ribière,"Jean-Jacques Neira, Nicolas George,
Vérane Frédiani, David Murdoch, Christophe Mazodier",,,Anna Mouglalis Niels Schneider Eric Godon Sissi Duparc André Wilms Michel Fau,,,,,"['Netflix', 'Fontana (Belgium)', 'Sinner Films (UK)']","September 7, 2018 (Worldwide)",102 minutes,France,French,,,102,,,07-09-18,,,,James Charkow (original idea) Vérane Frédiani,,,,,,,,,,,,,,,,,,,,,,
106,On My Skin,Alessio Cremonini,"['Andrea Occhipinti', 'Luigi Musini', 'Olivia Musini']",,,"['Alessandro Borghi', 'Jasmine Trinca']",,Matteo Cocco,,,Lucky Red / Netflix,29 August 2018 (Venice Film Festival) 12 September 2018,100 minutes,Italy,Italian,,,100,,,29-08-18,,,,"['Alessio Cremonini', 'Lisa Nur Sultan']",Cinemaundici,,,,,,,,,,,,,,,,,,,,,
107,The Land of Steady Habits,Nicole Holofcener,Anthony Bregman Stefanie Azpiazu Nicole Holofcener,,"['The Land of Steady Habits', 'by Ted Thompson']",Ben Mendelsohn Edie Falco Thomas Mann Connie Britton,Marcelo Zarvos,Alar Kivilo,Robert Frazen,,Netflix,"September 12, 2018 ( TIFF ) September 14, 2018 (United States)",98 minutes,United States,English,,,98,,,12-09-18,,,,Nicole Holofcener,Likely Story,,,,,,,,,,,,,,,,,,,,,
108,The Angel,Ariel Vromen,Simon Istolainen Zafrir Kochanovsky Antoine Stioui Matt O'Toole (Executive Producer) Esther Hornstein (Co-Executive Producer),,"['The Angel: The Egyptian Spy Who Saved Israel', 'by', 'Uri Bar-Joseph']",Marwan Kenzari Toby Kebbell,Pinar Toprak,Terry Stacey,Danny Rafic,,Netflix,14-Sep-18,,"['United States', 'Israel']",English Arabic Hebrew,$12 million,,,12000000,,14-09-18,,,,David Arata,Adama Pictures TTV Productions Sumatra Films,,,,,,,,,,,,,,,,,,,,,
